> phaseName    evlo(˚)    evla(˚)    evde(km)      stlo(˚)    stla(˚)
P              0          45         124           109.253    52.8327
pP             0          45         124           109.253    52.8327
PcP            0          45         124           109.253    52.8327
sP             0          45         124           109.253    52.8327
PP             0          45         124           109.253    52.8327
PKiKP          0          45         124           109.253    52.8327
pPKiKP         0          45         124           109.253    52.8327
sPKiKP         0          45         124           109.253    52.8327
S              0          45         124           109.253    52.8327
pS             0          45         124           109.253    52.8327
sS             0          45         124           109.253    52.8327
ScS            0          45         124           109.253    52.8327
SKiKP          0          45         124           109.253    52.8327
SS             0          45         124           109.253    52.8327
SP             0          45         124           109.253    52.8327
SKS            0          45         124           109.253    52.8327
SKKS           0          45         124           109.253    52.8327
sSKS           0          45         124           109.253    52.8327
PS             0          45         124           109.253    52.8327
pSKS           0          45         124           109.253    52.8327
PKIKKIKP       0          45         124           109.253    52.8327
SKIKKIKP       0          45         124           109.253    52.8327
PKIKKIKS       0          45         124           109.253    52.8327
SKIKKIKS       0          45         124           109.253    52.8327
PKIKP2         0          45         124           109.253    52.8327
PKPPKP         0          45         124           109.253    52.8327
PKPbc2         0          45         124           109.253    52.8327
PKPab2         0          45         124           109.253    52.8327
SKIKS2         0          45         124           109.253    52.8327
