> phaseName    evlo(˚)    evla(˚)    evde(km)      stlo(˚)    stla(˚)
S3               0          0          124          130        0
S3m              0          0          124          130        0
S4               0          0          124          130        0
S4m              0          0          124          130        0
S5               0          0          124          130        0
S5m              0          0          124          130        0
S6               0          0          124          130        0
S6m              0          0          124          130        0
ScS3             0          0          124          130        0
ScS3m            0          0          124          130        0
ScS4             0          0          124          130        0
ScS4m            0          0          124          130        0
ScS5             0          0          124          130        0
ScS5m            0          0          124          130        0
Sdiff            0          0          124          110        0
